date,avarage
1750-01-01,3.0340000000000003
1750-02-01,3083
1750-03-01,5626
1750-04-01,8.49
1750-05-01,11573
1750-06-01,12.937000000000001
1750-07-01,15868
1750-08-01,14.75
1750-09-01,11.412999999999998
1750-10-01,6.366999999999999
1750-11-01,
1750-12-01,2772
1751-01-01,2495
1751-02-01,963
1751-03-01,5.8
1751-04-01,7.67
1751-05-01,
1751-06-01,13827
1751-07-01,
1751-08-01,14405
1751-09-01,10673
1751-10-01,
1751-11-01,
1751-12-01,
1752-01-01,0.3480000000000003
1752-02-01,
1752-03-01,5806
1752-04-01,8.264999999999999
1752-05-01,
1752-06-01,
1752-07-01,
1752-08-01,
1752-09-01,
1752-10-01,7.838999999999999
1752-11-01,7335
1752-12-01,5086
1753-01-01,2039
1753-02-01,0.7149999999999999
1753-03-01,5.4239999999999995
1753-04-01,8272
1753-05-01,12186
1753-06-01,14585
1753-07-01,15092
1753-08-01,14148
1753-09-01,13.322000000000001
1753-10-01,8962
1753-11-01,5353
1753-12-01,0.5589999999999997
1754-01-01,1574
1754-02-01,-1.2489999999999997
1754-03-01,3677
1754-04-01,11.61
1754-05-01,11936
1754-06-01,14388
1754-07-01,14681
1754-08-01,13556
1754-09-01,11.129000000000001
1754-10-01,9582
1754-11-01,6.1610000000000005
1754-12-01,4587
1755-01-01,1067
1755-02-01,-0.1080000000000001
1755-03-01,3.6069999999999998
1755-04-01,9263
1755-05-01,12.880999999999998
1755-06-01,15.38
1755-07-01,14397
1755-08-01,13515
1755-09-01,11773
1755-10-01,9.97
1755-11-01,5.957999999999999
1755-12-01,2.5639999999999996
1756-01-01,3887
1756-02-01,5666
1756-03-01,4192
1756-04-01,10042
1756-05-01,14.163999999999998
1756-06-01,14547
1756-07-01,13.905999999999999
1756-08-01,13.437000000000001
1756-09-01,12.652000000000001
1756-10-01,7.3119999999999985
1756-11-01,4225
1756-12-01,2165
1757-01-01,-0.27600000000000025
1757-02-01,3704
1757-03-01,4529
1757-04-01,8.245999999999999
1757-05-01,13.039000000000001
1757-06-01,17115
1757-07-01,17.61
1757-08-01,17.91
1757-09-01,14852
1757-10-01,6.481999999999998
1757-11-01,4032
1757-12-01,1.0210000000000004
1758-01-01,-1.5029999999999997
1758-02-01,0.8059999999999999
1758-03-01,3765
1758-04-01,7.209999999999999
1758-05-01,9715
1758-06-01,13.139000000000001
1758-07-01,13.847000000000001
1758-08-01,11818
1758-09-01,10028
1758-10-01,1.8939999999999992
1758-11-01,6955
1758-12-01,3249
1759-01-01,5.013999999999999
1759-02-01,4082
1759-03-01,4.52
1759-04-01,5983
1759-05-01,10189
1759-06-01,13512
1759-07-01,12526
1759-08-01,14587
1759-09-01,12626
1759-10-01,8.267000000000001
1759-11-01,4.268000000000002
1759-12-01,0.2469999999999999
1760-01-01,-0.8109999999999999
1760-02-01,2436
1760-03-01,1864
1760-04-01,7.435999999999999
1760-05-01,10661
1760-06-01,11945
1760-07-01,12887
1760-08-01,13917
1760-09-01,11.197000000000001
1760-10-01,6.7010000000000005
1760-11-01,5436
1760-12-01,2553
1761-01-01,0.6000000000000001
1761-02-01,2735
1761-03-01,5976
1761-04-01,7.321000000000001
1761-05-01,13451
1761-06-01,16.820999999999998
1761-07-01,19021
1761-08-01,15331
1761-09-01,12.534999999999998
1761-10-01,7.2269999999999985
1761-11-01,5.0889999999999995
1761-12-01,-0.8370000000000002
1762-01-01,6.8660000000000005
1762-02-01,4801
1762-03-01,3.5280000000000005
1762-04-01,9019
1762-05-01,10.880999999999998
1762-06-01,13499
1762-07-01,14.72
1762-08-01,13992
1762-09-01,10326
1762-10-01,6.156000000000001
1762-11-01,6.367000000000001
1762-12-01,3123
1763-01-01,1.3690000000000002
1763-02-01,0.7709999999999999
1763-03-01,1.5760000000000003
1763-04-01,7.870999999999999
1763-05-01,10701
1763-06-01,12271
1763-07-01,16391
1763-08-01,14126
1763-09-01,11378
1763-10-01,5535
1763-11-01,4588
1763-12-01,3384
1764-01-01,1.7409999999999999
1764-02-01,6.162000000000001
1764-03-01,5521
1764-04-01,7.879999999999999
1764-05-01,11175
1764-06-01,11723
1764-07-01,12507
1764-08-01,12282
1764-09-01,10696
1764-10-01,10.011000000000001
1764-11-01,5791
1764-12-01,5315
1765-01-01,3.78
1765-02-01,3832
1765-03-01,6859
1765-04-01,9013
1765-05-01,10.734000000000002
1765-06-01,10.832999999999998
1765-07-01,13953
1765-08-01,13.12
1765-09-01,10993
1765-10-01,7904
1765-11-01,5603
1765-12-01,2399
1766-01-01,-0.7930000000000001
1766-02-01,4896
1766-03-01,6062
1766-04-01,8007
1766-05-01,11228
1766-06-01,13653
1766-07-01,13555
1766-08-01,13758
1766-09-01,12.25
1766-10-01,8465
1766-11-01,7.4540000000000015
1766-12-01,2333
1767-01-01,-0.6430000000000002
1767-02-01,3932
1767-03-01,7022
1767-04-01,6278
1767-05-01,10193
1767-06-01,14112
1767-07-01,13.360999999999999
1767-08-01,14.597000000000001
1767-09-01,11675
1767-10-01,9.027000000000001
1767-11-01,7915
1767-12-01,1189
1768-01-01,-2.08
1768-02-01,0.5060000000000002
1768-03-01,2.4459999999999997
1768-04-01,6.92
1768-05-01,9066
1768-06-01,12.489999999999998
1768-07-01,13875
1768-08-01,12352
1768-09-01,10.824000000000002
1768-10-01,7.728999999999999
1768-11-01,4581
1768-12-01,2667
1769-01-01,2305
1769-02-01,2164
1769-03-01,4.57
1769-04-01,8.966999999999997
1769-05-01,12873
1769-06-01,15.142000000000001
1769-07-01,14.460999999999999
1769-08-01,13.494000000000002
1769-09-01,11.25
1769-10-01,5.296999999999999
1769-11-01,2.79
1769-12-01,-0.9780000000000002
1770-01-01,1974
1770-02-01,4105
1770-03-01,1.6119999999999999
1770-04-01,9788
1770-05-01,9996
1770-06-01,11884
1770-07-01,11.620999999999999
1770-08-01,11413
1770-09-01,10724
1770-10-01,8661
1770-11-01,5791
1770-12-01,4734
1771-01-01,5101
1771-02-01,-0.27399999999999997
1771-03-01,2.8139999999999996
1771-04-01,5.716999999999999
1771-05-01,9626
1771-06-01,14.104000000000001
1771-07-01,13828
1771-08-01,14204
1771-09-01,11363
1771-10-01,10317
1771-11-01,4916
1771-12-01,2522
1772-01-01,1253
1772-02-01,1.4780000000000002
1772-03-01,3057
1772-04-01,8.857999999999997
1772-05-01,9531
1772-06-01,12.646999999999998
1772-07-01,14581
1772-08-01,14.097999999999999
1772-09-01,10303
1772-10-01,9268
1772-11-01,7.736000000000001
1772-12-01,5.5120000000000005
1773-01-01,-0.43699999999999983
1773-02-01,1.4209999999999998
1773-03-01,4.4220000000000015
1773-04-01,9415
1773-05-01,12.764000000000001
1773-06-01,12811
1773-07-01,14.484000000000002
1773-08-01,13624
1773-09-01,12488
1773-10-01,9206
1773-11-01,3369
1773-12-01,5.090999999999998
1774-01-01,-0.3249999999999997
1774-02-01,4914
1774-03-01,5643
1774-04-01,10153
1774-05-01,16025
1774-06-01,15371
1774-07-01,16521
1774-08-01,14099
1774-09-01,10936
1774-10-01,8.59
1774-11-01,3029
1774-12-01,0.31000000000000005
1775-01-01,4261
1775-02-01,6.4270000000000005
1775-03-01,7.7589999999999995
1775-04-01,7.951999999999999
1775-05-01,11.399000000000001
1775-06-01,12314
1775-07-01,14.719000000000001
1775-08-01,14435
1775-09-01,11.095999999999998
1775-10-01,10372
1775-11-01,8179
1775-12-01,1.2839999999999998
1776-01-01,-0.8059999999999999
1776-02-01,4825
1776-03-01,4652
1776-04-01,7.439999999999999
1776-05-01,10475
1776-06-01,14564
1776-07-01,14.107999999999999
1776-08-01,14837
1776-09-01,10602
1776-10-01,8.059999999999999
1776-11-01,5.87
1776-12-01,5021
1777-01-01,6.021000000000001
1777-02-01,4.9190000000000005
1777-03-01,5572
1777-04-01,6.361999999999999
1777-05-01,11.389000000000001
1777-06-01,12323
1777-07-01,12743
1777-08-01,12815
1777-09-01,11.379000000000001
1777-10-01,6956
1777-11-01,5529
1777-12-01,3.0669999999999997
1778-01-01,2521
1778-02-01,6.0939999999999985
1778-03-01,4604
1778-04-01,10.983999999999998
1778-05-01,11286
1778-06-01,11731
1778-07-01,15037
1778-08-01,12.869000000000002
1778-09-01,13377
1778-10-01,8049
1778-11-01,3.8539999999999996
1778-12-01,2101
1779-01-01,1.4700000000000002
1779-02-01,5.14
1779-03-01,6.9670000000000005
1779-04-01,9965
1779-05-01,14.18
1779-06-01,12547
1779-07-01,13659
1779-08-01,13.799000000000001
1779-09-01,12683
1779-10-01,9.35
1779-11-01,5.7700000000000005
1779-12-01,2269
1780-01-01,2515
1780-02-01,4.08
1780-03-01,5724
1780-04-01,13.732000000000001
1780-05-01,15.756999999999998
1780-06-01,14747
1780-07-01,16183
1780-08-01,12.947000000000001
1780-09-01,8844
1780-10-01,9376
1780-11-01,6706
1780-12-01,2.5839999999999996
1781-01-01,2401
1781-02-01,2267
1781-03-01,4772
1781-04-01,6.922999999999999
1781-05-01,11102
1781-06-01,11678
1781-07-01,14285
1781-08-01,14.140999999999998
1781-09-01,10.303999999999998
1781-10-01,8.546999999999999
1781-11-01,7523
1781-12-01,3.2880000000000003
1782-01-01,0.3410000000000002
1782-02-01,0.6389999999999998
1782-03-01,2565
1782-04-01,8.617999999999999
1782-05-01,10.989999999999998
1782-06-01,13.800999999999998
1782-07-01,13925
1782-08-01,15683
1782-09-01,12398
1782-10-01,8978
1782-11-01,4956
1782-12-01,1921
1783-01-01,-1.4310000000000005
1783-02-01,5.2940000000000005
1783-03-01,4.7989999999999995
1783-04-01,8574
1783-05-01,11819
1783-06-01,14.34
1783-07-01,13069
1783-08-01,13.970999999999998
1783-09-01,9.957999999999998
1783-10-01,7.356999999999998
1783-11-01,2.1959999999999997
1783-12-01,2224
1784-01-01,2596
1784-02-01,989
